,title,link,Puplished
0,البنك العربي الوطني - anb auf Twitter: „Limited time offer! ANB credit card with NO annual fees https://t.co/yDtTYWjQJx ... - Twitter,https://news.google.com/rss/articles/CBMiP2h0dHBzOi8vdHdpdHRlci5jb20vYW5iX2Jhbmsvc3RhdHVzLzEzNjQ1MzMwNTM3MjEzNjY1Mjg_bGFuZz1kZdIBAA?oc=5,"Wed, 24 Feb 2021 08:00:00 GMT"
1,"البنك العربي الوطني - anb on Twitter: ""#ANB https://t.co/tf1uLOoEbM"" - Twitter",https://news.google.com/rss/articles/CBMiNmh0dHBzOi8vdHdpdHRlci5jb20vYW5iX2Jhbmsvc3RhdHVzLzg5Nzc0NDkzMjY5MzMwMzI5N9IBAA?oc=5,"Wed, 16 Aug 2017 07:00:00 GMT"
2,"البنك العربي الوطني - anb on Twitter: ""Now... TeleMoney Electronic Remittance is so easy https://t.co/aj1lwwzDMF"" - Twitter",https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vdHdpdHRlci5jb20vYW5iX2Jhbmsvc3RhdHVzLzEyNjI3OTA2NzcyNTcxNzA5NDTSAQA?oc=5,"Tue, 19 May 2020 07:00:00 GMT"
3,"البنك العربي الوطني - anb على تويتر: ""With Ferrari Credit card,you can save up to 20% on selective items in Ferrari ... - Twitter",https://news.google.com/rss/articles/CBMiPmh0dHBzOi8vdHdpdHRlci5jb20vYW5iX2Jhbmsvc3RhdHVzLzM2MDAwNjEyODc5MDI4MjI0MD9sYW5nPWFy0gEA?oc=5,"Wed, 24 Jul 2013 07:00:00 GMT"
4,"البنك العربي الوطني - anb on Twitter: ""Telemoney, is the secure and quick way to send money home to ♥ ones ... - Twitter",https://news.google.com/rss/articles/CBMiNmh0dHBzOi8vdHdpdHRlci5jb20vYW5iX2Jhbmsvc3RhdHVzLzMwMzM5NDU0MTAxOTQ2Nzc3N9IBAA?oc=5,"Mon, 18 Feb 2013 08:00:00 GMT"
5,"البنك العربي الوطني - anb on Twitter: ""خدمات ذاتية .. ولا أسهل https://t.co/aJSCJd6kwk https://t.co/oQVbZg0uMZ"" - Twitter",https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vdHdpdHRlci5jb20vYW5iX2Jhbmsvc3RhdHVzLzEwODA4NzE5OTQxNzcwMTE3MTXSAQA?oc=5,"Thu, 03 Jan 2019 08:00:00 GMT"
6,"البنك العربي الوطني - anb on Twitter: ""روبير عيد، الرئيس التنفيذي للبنك العربي الوطني، يتحدث إلى World Finance ... - Twitter",https://news.google.com/rss/articles/CBMiNmh0dHBzOi8vdHdpdHRlci5jb20vYW5iX2Jhbmsvc3RhdHVzLzgwMTMwNzM2MjIyNTE5Mjk2MdIBAA?oc=5,"Wed, 23 Nov 2016 08:00:00 GMT"
7,"البنك العربي الوطني - anb on Twitter: ""Now you can recharge your mobile through ANB Online Banking! https://t.co ... - Twitter",https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vdHdpdHRlci5jb20vYW5iX2Jhbmsvc3RhdHVzLzEwMDQ3NTUyOTQyNzcyNTEwNzLSAQA?oc=5,"Thu, 07 Jun 2018 07:00:00 GMT"
8,"البنك العربي الوطني - anb on Twitter: ""Limited time offer! ANB credit card with NO annual fees https://t.co/yDtTYWjQJx ... - Twitter",https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vdHdpdHRlci5jb20vYW5iX2Jhbmsvc3RhdHVzLzEzNjQ1MzMwNTM3MjEzNjY1MjjSAQA?oc=5,"Wed, 24 Feb 2021 08:00:00 GMT"
9,"البنك العربي الوطني - anb on Twitter: ""ابني بيتك على ذوقك .. https://t.co/go2a1gdy3E https://t.co/PSlHIj91uH"" - Twitter",https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vdHdpdHRlci5jb20vYW5iX2Jhbmsvc3RhdHVzLzEwNTY1OTE2NDIxMzQ3NTczNzfSAQA?oc=5,"Sun, 28 Oct 2018 07:00:00 GMT"
10,"البنك العربي الوطني - anb on Twitter: ""تقدم بطلبك الآن https://t.co/0lMnydefEd https://t.co/I21gBQBVQl"" - Twitter",https://news.google.com/rss/articles/CBMiNmh0dHBzOi8vdHdpdHRlci5jb20vYW5iX2Jhbmsvc3RhdHVzLzgwMjc5OTE5NTAxNDg2MDgwMdIBAA?oc=5,"Sun, 27 Nov 2016 08:00:00 GMT"
11,Tweets with replies by البنك العربي الوطني - anb (@anb_bank) - Twitter,https://news.google.com/rss/articles/CBMiKWh0dHBzOi8vdHdpdHRlci5jb20vYW5iX2Jhbmsvd2l0aF9yZXBsaWVz0gEA?oc=5,"Mon, 14 Mar 2022 16:32:34 GMT"
